
individual 11: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N20(122, 33) ) ( 3, N5(131, 77) ) ( 4, N26(137, 109) ) ( 5, N16(69, 112) ) ( 6, N7(95, 142) ) ( 7, N25(62, 107) ) ( 8, G(1, 1) )( 9, N4(55, 95) ) ( 10, N22(91, 61) ) ( 11, N12(21, 66) ) ( 12, N6(11, 141) ) ( 13, N10(52, 3) ) ( 14, N11(142, 32) ) ( 15, G(1, 2) )( 16, N9(41, 4) ) ( 17, N23(103, 68) ) ( 18, N17(117, 149) ) ( 19, N1(69, 24) ) ( 20, N21(23, 64) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N3(12, 64) ) ( 24, N0(34, 0) ) ( 25, N2(128, 8) ) ( 26, N18(35, 44) ) ( 27, N19(53, 11) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N24(47, 144) ) ( 31, N13(68, 95) ) ( 32, N-1 ) ( 33, N15(21, 138) ) ( 34, N14(147, 76) ) ( 35, N8(127, 136) ) 

individual 12: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N7(95, 142) ) ( 3, N12(21, 66) ) ( 4, N25(62, 107) ) ( 5, N15(21, 138) ) ( 6, N0(34, 0) ) ( 7, N1(69, 24) ) ( 8, G(1, 1) )( 9, N20(122, 33) ) ( 10, N6(11, 141) ) ( 11, N5(131, 77) ) ( 12, N16(69, 112) ) ( 13, N8(127, 136) ) ( 14, N13(68, 95) ) ( 15, G(1, 2) )( 16, N9(41, 4) ) ( 17, N14(147, 76) ) ( 18, N17(117, 149) ) ( 19, N26(137, 109) ) ( 20, N3(12, 64) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N11(142, 32) ) ( 24, N4(55, 95) ) ( 25, N23(103, 68) ) ( 26, N19(53, 11) ) ( 27, N24(47, 144) ) ( 28, N22(91, 61) ) ( 29, G(1, 4) )( 30, N21(23, 64) ) ( 31, N-1 ) ( 32, N-1 ) ( 33, N2(128, 8) ) ( 34, N10(52, 3) ) ( 35, N18(35, 44) ) 

individual 13: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N7(95, 142) ) ( 3, N6(11, 141) ) ( 4, N16(69, 112) ) ( 5, N11(142, 32) ) ( 6, N2(128, 8) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N14(147, 76) ) ( 10, N12(21, 66) ) ( 11, N3(12, 64) ) ( 12, N26(137, 109) ) ( 13, N10(52, 3) ) ( 14, N8(127, 136) ) ( 15, G(1, 2) )( 16, N19(53, 11) ) ( 17, N21(23, 64) ) ( 18, N17(117, 149) ) ( 19, N9(41, 4) ) ( 20, N25(62, 107) ) ( 21, N13(68, 95) ) ( 22, G(1, 3) )( 23, N-1 ) ( 24, N24(47, 144) ) ( 25, N-1 ) ( 26, N20(122, 33) ) ( 27, N23(103, 68) ) ( 28, N18(35, 44) ) ( 29, G(1, 4) )( 30, N15(21, 138) ) ( 31, N4(55, 95) ) ( 32, N0(34, 0) ) ( 33, N5(131, 77) ) ( 34, N1(69, 24) ) ( 35, N22(91, 61) ) 

individual 14: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N3(12, 64) ) ( 3, N1(69, 24) ) ( 4, N19(53, 11) ) ( 5, N9(41, 4) ) ( 6, N17(117, 149) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N21(23, 64) ) ( 10, N-1 ) ( 11, N22(91, 61) ) ( 12, N4(55, 95) ) ( 13, N16(69, 112) ) ( 14, N23(103, 68) ) ( 15, G(1, 2) )( 16, N0(34, 0) ) ( 17, N15(21, 138) ) ( 18, N2(128, 8) ) ( 19, N24(47, 144) ) ( 20, N11(142, 32) ) ( 21, N18(35, 44) ) ( 22, G(1, 3) )( 23, N12(21, 66) ) ( 24, N10(52, 3) ) ( 25, N20(122, 33) ) ( 26, N7(95, 142) ) ( 27, N6(11, 141) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N25(62, 107) ) ( 31, N14(147, 76) ) ( 32, N13(68, 95) ) ( 33, N5(131, 77) ) ( 34, N8(127, 136) ) ( 35, N26(137, 109) ) 

individual 15: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N3(12, 64) ) ( 3, N6(11, 141) ) ( 4, N14(147, 76) ) ( 5, N13(68, 95) ) ( 6, N5(131, 77) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N8(127, 136) ) ( 11, N18(35, 44) ) ( 12, N20(122, 33) ) ( 13, N21(23, 64) ) ( 14, N26(137, 109) ) ( 15, G(1, 2) )( 16, N11(142, 32) ) ( 17, N1(69, 24) ) ( 18, N19(53, 11) ) ( 19, N7(95, 142) ) ( 20, N16(69, 112) ) ( 21, N0(34, 0) ) ( 22, G(1, 3) )( 23, N12(21, 66) ) ( 24, N9(41, 4) ) ( 25, N-1 ) ( 26, N4(55, 95) ) ( 27, N22(91, 61) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N24(47, 144) ) ( 31, N10(52, 3) ) ( 32, N23(103, 68) ) ( 33, N17(117, 149) ) ( 34, N2(128, 8) ) ( 35, N25(62, 107) ) 
