 CH's ID: 1
node: 1
nID1: 14, nID2: 288, key value: 302
nID1: 14, nID2: 196, key value: 210
nID1: 14, nID2: 50, key value: 64
nID1: 14, nID2: 195, key value: 209
nID1: 14, nID2: 40, key value: 54
nID1: 14, nID2: 39, key value: 53
nID1: 14, nID2: 182, key value: 196
nID1: 14, nID2: 171, key value: 185
nID1: 14, nID2: 29, key value: 43
nID1: 13, nID2: 14, key value: 27
nID1: 2, nID2: 14, key value: 16
nID1: 14, nID2: 144, key value: 158
nID1: 14, nID2: 156, key value: 170
nID1: 14, nID2: 288, key value: 302

node: 158
nID1: 158, nID2: 159, key value: 317
nID1: 158, nID2: 159, key value: 317

node: 302
nID1: 39, nID2: 302, key value: 341
nID1: 171, nID2: 302, key value: 473
nID1: 171, nID2: 302, key value: 473
nID1: 172, nID2: 302, key value: 474
nID1: 39, nID2: 302, key value: 341
nID1: 170, nID2: 302, key value: 472



 CH's ID: 20
node: 20
nID1: 9, nID2: 20, key value: 29
nID1: 20, nID2: 55, key value: 75
nID1: 20, nID2: 186, key value: 206
nID1: 20, nID2: 198, key value: 218
nID1: 20, nID2: 56, key value: 76
nID1: 20, nID2: 331, key value: 351
nID1: 20, nID2: 31, key value: 51
nID1: 20, nID2: 57, key value: 77
nID1: 20, nID2: 332, key value: 352
nID1: 20, nID2: 29, key value: 49
nID1: 20, nID2: 165, key value: 185
nID1: 20, nID2: 151, key value: 171
nID1: 20, nID2: 152, key value: 172
nID1: 20, nID2: 296, key value: 316
nID1: 20, nID2: 297, key value: 317
nID1: 20, nID2: 298, key value: 318
nID1: 20, nID2: 151, key value: 171
nID1: 20, nID2: 152, key value: 172
nID1: 20, nID2: 29, key value: 49
nID1: 20, nID2: 198, key value: 218
nID1: 20, nID2: 55, key value: 75
nID1: 20, nID2: 186, key value: 206
nID1: 20, nID2: 56, key value: 76
nID1: 20, nID2: 331, key value: 351
nID1: 20, nID2: 57, key value: 77
nID1: 20, nID2: 332, key value: 352
nID1: 20, nID2: 296, key value: 316
nID1: 20, nID2: 30, key value: 50
nID1: 20, nID2: 31, key value: 51
nID1: 20, nID2: 333, key value: 353
nID1: 20, nID2: 161, key value: 181
nID1: 20, nID2: 297, key value: 317
nID1: 9, nID2: 20, key value: 29
nID1: 20, nID2: 298, key value: 318
nID1: 20, nID2: 165, key value: 185

node: 164
nID1: 31, nID2: 164, key value: 195
nID1: 164, nID2: 320, key value: 484
nID1: 164, nID2: 321, key value: 485
nID1: 164, nID2: 307, key value: 471
nID1: 31, nID2: 164, key value: 195
nID1: 164, nID2: 321, key value: 485
nID1: 164, nID2: 320, key value: 484
nID1: 164, nID2: 307, key value: 471

node: 308
nID1: 308, nID2: 331, key value: 639
nID1: 31, nID2: 308, key value: 339
nID1: 308, nID2: 332, key value: 640
nID1: 308, nID2: 320, key value: 628
nID1: 308, nID2: 333, key value: 641
nID1: 30, nID2: 308, key value: 338
nID1: 308, nID2: 331, key value: 639
nID1: 30, nID2: 308, key value: 338
nID1: 308, nID2: 332, key value: 640
nID1: 31, nID2: 308, key value: 339
nID1: 308, nID2: 333, key value: 641
nID1: 308, nID2: 320, key value: 628
nID1: 162, nID2: 308, key value: 470



 CH's ID: 21
node: 21
nID1: 21, nID2: 153, key value: 174
nID1: 21, nID2: 31, key value: 52
nID1: 21, nID2: 55, key value: 76
nID1: 21, nID2: 56, key value: 77
nID1: 21, nID2: 57, key value: 78
nID1: 21, nID2: 331, key value: 352
nID1: 21, nID2: 332, key value: 353
nID1: 21, nID2: 29, key value: 50
nID1: 21, nID2: 30, key value: 51
nID1: 21, nID2: 320, key value: 341
nID1: 21, nID2: 333, key value: 354
nID1: 21, nID2: 152, key value: 173
nID1: 21, nID2: 153, key value: 174
nID1: 21, nID2: 297, key value: 318
nID1: 21, nID2: 298, key value: 319
nID1: 21, nID2: 154, key value: 175
nID1: 11, nID2: 21, key value: 32
nID1: 21, nID2: 152, key value: 173
nID1: 21, nID2: 332, key value: 353
nID1: 21, nID2: 55, key value: 76
nID1: 21, nID2: 331, key value: 352
nID1: 21, nID2: 56, key value: 77
nID1: 21, nID2: 57, key value: 78
nID1: 21, nID2: 297, key value: 318
nID1: 21, nID2: 161, key value: 182
nID1: 21, nID2: 31, key value: 52
nID1: 21, nID2: 333, key value: 354
nID1: 21, nID2: 30, key value: 51
nID1: 21, nID2: 29, key value: 50
nID1: 11, nID2: 21, key value: 32
nID1: 21, nID2: 320, key value: 341
nID1: 21, nID2: 298, key value: 319
nID1: 21, nID2: 162, key value: 183
nID1: 21, nID2: 154, key value: 175

node: 165
nID1: 165, nID2: 321, key value: 486
nID1: 165, nID2: 307, key value: 472
nID1: 20, nID2: 165, key value: 185
nID1: 165, nID2: 321, key value: 486
nID1: 20, nID2: 165, key value: 185
nID1: 165, nID2: 307, key value: 472

node: 309
nID1: 309, nID2: 320, key value: 629
nID1: 309, nID2: 332, key value: 641
nID1: 309, nID2: 333, key value: 642
nID1: 30, nID2: 309, key value: 339
nID1: 31, nID2: 309, key value: 340
nID1: 307, nID2: 309, key value: 616
nID1: 309, nID2: 321, key value: 630
nID1: 309, nID2: 320, key value: 629
nID1: 309, nID2: 321, key value: 630
nID1: 309, nID2: 333, key value: 642
nID1: 31, nID2: 309, key value: 340
nID1: 309, nID2: 332, key value: 641
nID1: 30, nID2: 309, key value: 339
nID1: 162, nID2: 309, key value: 471
nID1: 307, nID2: 309, key value: 616



 CH's ID: 29
node: 29
nID1: 29, nID2: 64, key value: 93
nID1: 29, nID2: 198, key value: 227
nID1: 29, nID2: 353, key value: 382
nID1: 29, nID2: 174, key value: 203
nID1: 28, nID2: 29, key value: 57
nID1: 17, nID2: 29, key value: 46
nID1: 29, nID2: 303, key value: 332
nID1: 29, nID2: 160, key value: 189
nID1: 29, nID2: 292, key value: 321
nID1: 29, nID2: 319, key value: 348
nID1: 29, nID2: 305, key value: 334
nID1: 29, nID2: 163, key value: 192
nID1: 29, nID2: 306, key value: 335
nID1: 29, nID2: 294, key value: 323
nID1: 29, nID2: 162, key value: 191
nID1: 29, nID2: 150, key value: 179
nID1: 29, nID2: 149, key value: 178
nID1: 29, nID2: 293, key value: 322
nID1: 20, nID2: 29, key value: 49
nID1: 21, nID2: 29, key value: 50
nID1: 7, nID2: 29, key value: 36
nID1: 8, nID2: 29, key value: 37
nID1: 29, nID2: 148, key value: 177
nID1: 29, nID2: 291, key value: 320
nID1: 29, nID2: 307, key value: 336
nID1: 14, nID2: 29, key value: 43
nID1: 29, nID2: 64, key value: 93
nID1: 7, nID2: 29, key value: 36
nID1: 20, nID2: 29, key value: 49
nID1: 29, nID2: 307, key value: 336
nID1: 29, nID2: 353, key value: 382
nID1: 29, nID2: 341, key value: 370
nID1: 29, nID2: 198, key value: 227
nID1: 8, nID2: 29, key value: 37
nID1: 29, nID2: 150, key value: 179
nID1: 29, nID2: 162, key value: 191
nID1: 29, nID2: 320, key value: 349
nID1: 21, nID2: 29, key value: 50
nID1: 29, nID2: 174, key value: 203
nID1: 29, nID2: 148, key value: 177
nID1: 29, nID2: 291, key value: 320
nID1: 29, nID2: 304, key value: 333
nID1: 29, nID2: 319, key value: 348
nID1: 29, nID2: 292, key value: 321
nID1: 29, nID2: 293, key value: 322
nID1: 29, nID2: 149, key value: 178
nID1: 29, nID2: 294, key value: 323
nID1: 17, nID2: 29, key value: 46
nID1: 29, nID2: 305, key value: 334
nID1: 29, nID2: 303, key value: 332
nID1: 29, nID2: 306, key value: 335
nID1: 28, nID2: 29, key value: 57
nID1: 29, nID2: 160, key value: 189
nID1: 29, nID2: 163, key value: 192

node: 173
nID1: 173, nID2: 185, key value: 358
nID1: 173, nID2: 185, key value: 358

node: 317
nID1: 196, nID2: 317, key value: 513
nID1: 198, nID2: 317, key value: 515
nID1: 317, nID2: 341, key value: 658
nID1: 317, nID2: 353, key value: 670
nID1: 198, nID2: 317, key value: 515
nID1: 317, nID2: 353, key value: 670
nID1: 196, nID2: 317, key value: 513
nID1: 317, nID2: 341, key value: 658



 CH's ID: 30
node: 30
nID1: 30, nID2: 196, key value: 226
nID1: 30, nID2: 198, key value: 228
nID1: 30, nID2: 341, key value: 371
nID1: 30, nID2: 353, key value: 383
nID1: 30, nID2: 175, key value: 205
nID1: 17, nID2: 30, key value: 47
nID1: 19, nID2: 30, key value: 49
nID1: 18, nID2: 30, key value: 48
nID1: 6, nID2: 30, key value: 36
nID1: 30, nID2: 306, key value: 336
nID1: 30, nID2: 294, key value: 324
nID1: 30, nID2: 293, key value: 323
nID1: 30, nID2: 308, key value: 338
nID1: 30, nID2: 309, key value: 339
nID1: 30, nID2: 295, key value: 325
nID1: 30, nID2: 296, key value: 326
nID1: 21, nID2: 30, key value: 51
nID1: 7, nID2: 30, key value: 37
nID1: 8, nID2: 30, key value: 38
nID1: 9, nID2: 30, key value: 39
nID1: 30, nID2: 307, key value: 337
nID1: 30, nID2: 163, key value: 193
nID1: 30, nID2: 150, key value: 180
nID1: 30, nID2: 149, key value: 179
nID1: 30, nID2: 295, key value: 325
nID1: 7, nID2: 30, key value: 37
nID1: 30, nID2: 307, key value: 337
nID1: 30, nID2: 198, key value: 228
nID1: 30, nID2: 353, key value: 383
nID1: 30, nID2: 196, key value: 226
nID1: 30, nID2: 341, key value: 371
nID1: 30, nID2: 296, key value: 326
nID1: 8, nID2: 30, key value: 38
nID1: 20, nID2: 30, key value: 50
nID1: 30, nID2: 150, key value: 180
nID1: 9, nID2: 30, key value: 39
nID1: 21, nID2: 30, key value: 51
nID1: 30, nID2: 321, key value: 351
nID1: 30, nID2: 308, key value: 338
nID1: 30, nID2: 309, key value: 339
nID1: 30, nID2: 175, key value: 205
nID1: 6, nID2: 30, key value: 36
nID1: 30, nID2: 293, key value: 323
nID1: 30, nID2: 149, key value: 179
nID1: 30, nID2: 294, key value: 324
nID1: 18, nID2: 30, key value: 48
nID1: 17, nID2: 30, key value: 47
nID1: 30, nID2: 306, key value: 336
nID1: 19, nID2: 30, key value: 49
nID1: 30, nID2: 163, key value: 193
nID1: 30, nID2: 176, key value: 206

node: 174
nID1: 29, nID2: 174, key value: 203
nID1: 29, nID2: 174, key value: 203

node: 318
nID1: 185, nID2: 318, key value: 503
nID1: 185, nID2: 318, key value: 503



 CH's ID: 31
node: 31
nID1: 31, nID2: 55, key value: 86
nID1: 31, nID2: 198, key value: 229
nID1: 31, nID2: 32, key value: 63
nID1: 19, nID2: 31, key value: 50
nID1: 31, nID2: 164, key value: 195
nID1: 31, nID2: 163, key value: 194
nID1: 31, nID2: 177, key value: 208
nID1: 31, nID2: 308, key value: 339
nID1: 31, nID2: 185, key value: 216
nID1: 20, nID2: 31, key value: 51
nID1: 21, nID2: 31, key value: 52
nID1: 31, nID2: 178, key value: 209
nID1: 31, nID2: 179, key value: 210
nID1: 31, nID2: 150, key value: 181
nID1: 31, nID2: 294, key value: 325
nID1: 31, nID2: 309, key value: 340
nID1: 7, nID2: 31, key value: 38
nID1: 31, nID2: 295, key value: 326
nID1: 8, nID2: 31, key value: 39
nID1: 31, nID2: 296, key value: 327
nID1: 9, nID2: 31, key value: 40
nID1: 31, nID2: 149, key value: 180
nID1: 31, nID2: 295, key value: 326
nID1: 31, nID2: 55, key value: 86
nID1: 7, nID2: 31, key value: 38
nID1: 31, nID2: 185, key value: 216
nID1: 31, nID2: 198, key value: 229
nID1: 31, nID2: 67, key value: 98
nID1: 31, nID2: 224, key value: 255
nID1: 31, nID2: 356, key value: 387
nID1: 31, nID2: 296, key value: 327
nID1: 8, nID2: 31, key value: 39
nID1: 20, nID2: 31, key value: 51
nID1: 31, nID2: 150, key value: 181
nID1: 9, nID2: 31, key value: 40
nID1: 21, nID2: 31, key value: 52
nID1: 31, nID2: 178, key value: 209
nID1: 31, nID2: 179, key value: 210
nID1: 31, nID2: 164, key value: 195
nID1: 31, nID2: 308, key value: 339
nID1: 31, nID2: 309, key value: 340
nID1: 31, nID2: 149, key value: 180
nID1: 31, nID2: 294, key value: 325
nID1: 19, nID2: 31, key value: 50
nID1: 31, nID2: 163, key value: 194
nID1: 31, nID2: 32, key value: 63
nID1: 31, nID2: 177, key value: 208

node: 175
nID1: 175, nID2: 331, key value: 506
nID1: 30, nID2: 175, key value: 205
nID1: 175, nID2: 331, key value: 506
nID1: 30, nID2: 175, key value: 205

node: 319
nID1: 55, nID2: 319, key value: 374
nID1: 186, nID2: 319, key value: 505
nID1: 198, nID2: 319, key value: 517
nID1: 29, nID2: 319, key value: 348
nID1: 198, nID2: 319, key value: 517
nID1: 55, nID2: 319, key value: 374
nID1: 186, nID2: 319, key value: 505
nID1: 56, nID2: 319, key value: 375
nID1: 29, nID2: 319, key value: 348



 CH's ID: 37
node: 37
nID1: 37, nID2: 63, key value: 100
nID1: 37, nID2: 50, key value: 87
nID1: 37, nID2: 62, key value: 99
nID1: 37, nID2: 73, key value: 110
nID1: 37, nID2: 218, key value: 255
nID1: 37, nID2: 349, key value: 386
nID1: 24, nID2: 37, key value: 61
nID1: 37, nID2: 39, key value: 76
nID1: 36, nID2: 37, key value: 73
nID1: 37, nID2: 312, key value: 349
nID1: 37, nID2: 171, key value: 208
nID1: 37, nID2: 182, key value: 219
nID1: 37, nID2: 300, key value: 337
nID1: 37, nID2: 156, key value: 193
nID1: 37, nID2: 288, key value: 325
nID1: 37, nID2: 50, key value: 87
nID1: 37, nID2: 63, key value: 100
nID1: 37, nID2: 195, key value: 232
nID1: 37, nID2: 62, key value: 99
nID1: 37, nID2: 218, key value: 255
nID1: 37, nID2: 73, key value: 110
nID1: 37, nID2: 349, key value: 386
nID1: 37, nID2: 39, key value: 76
nID1: 37, nID2: 182, key value: 219
nID1: 37, nID2: 171, key value: 208
nID1: 24, nID2: 37, key value: 61
nID1: 37, nID2: 312, key value: 349
nID1: 37, nID2: 288, key value: 325
nID1: 37, nID2: 300, key value: 337
nID1: 37, nID2: 156, key value: 193
nID1: 36, nID2: 37, key value: 73

node: 181
nID1: 49, nID2: 181, key value: 230
nID1: 181, nID2: 182, key value: 363
nID1: 181, nID2: 336, key value: 517
nID1: 181, nID2: 313, key value: 494
nID1: 49, nID2: 181, key value: 230
nID1: 181, nID2: 182, key value: 363
nID1: 181, nID2: 336, key value: 517
nID1: 181, nID2: 313, key value: 494

node: 325
nID1: 50, nID2: 325, key value: 375
nID1: 49, nID2: 325, key value: 374
nID1: 73, nID2: 325, key value: 398
nID1: 325, nID2: 349, key value: 674
nID1: 325, nID2: 360, key value: 685
nID1: 170, nID2: 325, key value: 495
nID1: 182, nID2: 325, key value: 507
nID1: 50, nID2: 325, key value: 375
nID1: 182, nID2: 325, key value: 507
nID1: 49, nID2: 325, key value: 374
nID1: 73, nID2: 325, key value: 398
nID1: 325, nID2: 349, key value: 674
nID1: 325, nID2: 360, key value: 685
nID1: 170, nID2: 325, key value: 495



 CH's ID: 39
node: 39
nID1: 39, nID2: 64, key value: 103
nID1: 39, nID2: 353, key value: 392
nID1: 39, nID2: 196, key value: 235
nID1: 39, nID2: 198, key value: 237
nID1: 39, nID2: 341, key value: 380
nID1: 27, nID2: 39, key value: 66
nID1: 15, nID2: 39, key value: 54
nID1: 26, nID2: 39, key value: 65
nID1: 28, nID2: 39, key value: 67
nID1: 39, nID2: 303, key value: 342
nID1: 39, nID2: 314, key value: 353
nID1: 39, nID2: 316, key value: 355
