individual 22: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N32(119, 53) ) ( 3, N15(21, 138) ) ( 4, N7(95, 142) ) ( 5, N13(68, 95) ) ( 6, N21(23, 64) ) ( 7, N26(137, 109) ) ( 8, G(1, 1) )( 9, N11(142, 32) ) ( 10, N29(128, 48) ) ( 11, N20(122, 33) ) ( 12, N18(35, 44) ) ( 13, N24(47, 144) ) ( 14, N12(21, 66) ) ( 15, G(1, 2) )( 16, N25(62, 107) ) ( 17, N8(127, 136) ) ( 18, N23(103, 68) ) ( 19, N-1 ) ( 20, N6(11, 141) ) ( 21, N16(69, 112) ) ( 22, G(1, 3) )( 23, N10(52, 3) ) ( 24, N19(53, 11) ) ( 25, N9(41, 4) ) ( 26, N17(117, 149) ) ( 27, N14(147, 76) ) ( 28, N28(83, 47) ) ( 29, G(1, 4) )( 30, N27(36, 37) ) ( 31, N22(91, 61) ) ( 32, N30(11, 94) ) ( 33, N31(87, 86) ) ( 34, N-1 ) ( 35, N-1 ) 

individual 23: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N12(21, 66) ) ( 3, N6(11, 141) ) ( 4, N16(69, 112) ) ( 5, N25(62, 107) ) ( 6, N24(47, 144) ) ( 7, N10(52, 3) ) ( 8, G(1, 1) )( 9, N19(53, 11) ) ( 10, N11(142, 32) ) ( 11, N27(36, 37) ) ( 12, N9(41, 4) ) ( 13, N22(91, 61) ) ( 14, N13(68, 95) ) ( 15, G(1, 2) )( 16, N8(127, 136) ) ( 17, N32(119, 53) ) ( 18, N21(23, 64) ) ( 19, N15(21, 138) ) ( 20, N31(87, 86) ) ( 21, N17(117, 149) ) ( 22, G(1, 3) )( 23, N7(95, 142) ) ( 24, N26(137, 109) ) ( 25, N20(122, 33) ) ( 26, N18(35, 44) ) ( 27, N-1 ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N23(103, 68) ) ( 31, N14(147, 76) ) ( 32, N30(11, 94) ) ( 33, N29(128, 48) ) ( 34, N28(83, 47) ) ( 35, N-1 ) 

individual 24: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N24(47, 144) ) ( 3, N12(21, 66) ) ( 4, N14(147, 76) ) ( 5, N26(137, 109) ) ( 6, N6(11, 141) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N23(103, 68) ) ( 10, N13(68, 95) ) ( 11, N16(69, 112) ) ( 12, N10(52, 3) ) ( 13, N18(35, 44) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N25(62, 107) ) ( 17, N21(23, 64) ) ( 18, N8(127, 136) ) ( 19, N17(117, 149) ) ( 20, N7(95, 142) ) ( 21, N9(41, 4) ) ( 22, G(1, 3) )( 23, N15(21, 138) ) ( 24, N11(142, 32) ) ( 25, N19(53, 11) ) ( 26, N27(36, 37) ) ( 27, N30(11, 94) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N31(87, 86) ) ( 31, N28(83, 47) ) ( 32, N22(91, 61) ) ( 33, N32(119, 53) ) ( 34, N29(128, 48) ) ( 35, N20(122, 33) ) 

individual 25: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N15(21, 138) ) ( 3, N11(142, 32) ) ( 4, N19(53, 11) ) ( 5, N22(91, 61) ) ( 6, N23(103, 68) ) ( 7, N27(36, 37) ) ( 8, G(1, 1) )( 9, N14(147, 76) ) ( 10, N9(41, 4) ) ( 11, N21(23, 64) ) ( 12, N18(35, 44) ) ( 13, N31(87, 86) ) ( 14, N16(69, 112) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N28(83, 47) ) ( 18, N-1 ) ( 19, N8(127, 136) ) ( 20, N10(52, 3) ) ( 21, N29(128, 48) ) ( 22, G(1, 3) )( 23, N24(47, 144) ) ( 24, N12(21, 66) ) ( 25, N26(137, 109) ) ( 26, N7(95, 142) ) ( 27, N32(119, 53) ) ( 28, N20(122, 33) ) ( 29, G(1, 4) )( 30, N30(11, 94) ) ( 31, N6(11, 141) ) ( 32, N17(117, 149) ) ( 33, N25(62, 107) ) ( 34, N13(68, 95) ) ( 35, N-1 ) 

individual 26: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N32(119, 53) ) ( 3, N15(21, 138) ) ( 4, N7(95, 142) ) ( 5, N13(68, 95) ) ( 6, N21(23, 64) ) ( 7, N26(137, 109) ) ( 8, G(1, 1) )( 9, N11(142, 32) ) ( 10, N29(128, 48) ) ( 11, N20(122, 33) ) ( 12, N18(35, 44) ) ( 13, N24(47, 144) ) ( 14, N12(21, 66) ) ( 15, G(1, 2) )( 16, N25(62, 107) ) ( 17, N8(127, 136) ) ( 18, N23(103, 68) ) ( 19, N-1 ) ( 20, N6(11, 141) ) ( 21, N16(69, 112) ) ( 22, G(1, 3) )( 23, N10(52, 3) ) ( 24, N17(117, 149) ) ( 25, N14(147, 76) ) ( 26, N19(53, 11) ) ( 27, N28(83, 47) ) ( 28, N9(41, 4) ) ( 29, G(1, 4) )( 30, N27(36, 37) ) ( 31, N22(91, 61) ) ( 32, N30(11, 94) ) ( 33, N31(87, 86) ) ( 34, N-1 ) ( 35, N-1 ) 

