
individual 11: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N17(12, 103) ) ( 3, N7(36, 137) ) ( 4, N20(90, 71) ) ( 5, N25(118, 35) ) ( 6, N6(144, 35) ) ( 7, N10(138, 69) ) ( 8, G(1, 1) )( 9, N18(34, 91) ) ( 10, N16(8, 83) ) ( 11, N28(122, 7) ) ( 12, N22(12, 147) ) ( 13, N13(2, 123) ) ( 14, N11(118, 39) ) ( 15, G(1, 2) )( 16, N21(6, 15) ) ( 17, N30(78, 53) ) ( 18, N8(80, 69) ) ( 19, N15(50, 139) ) ( 20, N14(126, 109) ) ( 21, N26(94, 67) ) ( 22, G(1, 3) )( 23, N24(82, 5) ) ( 24, N29(12, 123) ) ( 25, N19(146, 107) ) ( 26, N12(8, 45) ) ( 27, N31(134, 15) ) ( 28, N23(54, 47) ) ( 29, G(1, 4) )( 30, N27(138, 137) ) ( 31, N32(30, 145) ) ( 32, N9(94, 117) ) ( 33, N-1 ) ( 34, N-1 ) ( 35, N-1 ) 

individual 12: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N8(80, 69) ) ( 3, N32(30, 145) ) ( 4, N12(8, 45) ) ( 5, N30(78, 53) ) ( 6, N21(6, 15) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N22(12, 147) ) ( 10, N19(146, 107) ) ( 11, N26(94, 67) ) ( 12, N9(94, 117) ) ( 13, N7(36, 137) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N24(82, 5) ) ( 17, N-1 ) ( 18, N28(122, 7) ) ( 19, N6(144, 35) ) ( 20, N23(54, 47) ) ( 21, N13(2, 123) ) ( 22, G(1, 3) )( 23, N17(12, 103) ) ( 24, N10(138, 69) ) ( 25, N31(134, 15) ) ( 26, N15(50, 139) ) ( 27, N14(126, 109) ) ( 28, N11(118, 39) ) ( 29, G(1, 4) )( 30, N18(34, 91) ) ( 31, N25(118, 35) ) ( 32, N20(90, 71) ) ( 33, N16(8, 83) ) ( 34, N29(12, 123) ) ( 35, N27(138, 137) ) 

individual 13: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N8(80, 69) ) ( 3, N19(146, 107) ) ( 4, N28(122, 7) ) ( 5, N10(138, 69) ) ( 6, N-1 ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N32(30, 145) ) ( 10, N22(12, 147) ) ( 11, N12(8, 45) ) ( 12, N15(50, 139) ) ( 13, N17(12, 103) ) ( 14, N7(36, 137) ) ( 15, G(1, 2) )( 16, N18(34, 91) ) ( 17, N11(118, 39) ) ( 18, N13(2, 123) ) ( 19, N9(94, 117) ) ( 20, N31(134, 15) ) ( 21, N27(138, 137) ) ( 22, G(1, 3) )( 23, N16(8, 83) ) ( 24, N24(82, 5) ) ( 25, N26(94, 67) ) ( 26, N30(78, 53) ) ( 27, N20(90, 71) ) ( 28, N29(12, 123) ) ( 29, G(1, 4) )( 30, N25(118, 35) ) ( 31, N23(54, 47) ) ( 32, N-1 ) ( 33, N14(126, 109) ) ( 34, N6(144, 35) ) ( 35, N21(6, 15) ) 

individual 14: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N31(134, 15) ) ( 3, N15(50, 139) ) ( 4, N6(144, 35) ) ( 5, N26(94, 67) ) ( 6, N11(118, 39) ) ( 7, N23(54, 47) ) ( 8, G(1, 1) )( 9, N17(12, 103) ) ( 10, N18(34, 91) ) ( 11, N13(2, 123) ) ( 12, N7(36, 137) ) ( 13, N27(138, 137) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N29(12, 123) ) ( 17, N21(6, 15) ) ( 18, N12(8, 45) ) ( 19, N28(122, 7) ) ( 20, N9(94, 117) ) ( 21, N8(80, 69) ) ( 22, G(1, 3) )( 23, N14(126, 109) ) ( 24, N-1 ) ( 25, N16(8, 83) ) ( 26, N-1 ) ( 27, N32(30, 145) ) ( 28, N30(78, 53) ) ( 29, G(1, 4) )( 30, N19(146, 107) ) ( 31, N10(138, 69) ) ( 32, N25(118, 35) ) ( 33, N24(82, 5) ) ( 34, N22(12, 147) ) ( 35, N20(90, 71) ) 

individual 15: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N31(134, 15) ) ( 3, N15(50, 139) ) ( 4, N18(34, 91) ) ( 5, N12(8, 45) ) ( 6, N19(146, 107) ) ( 7, N20(90, 71) ) ( 8, G(1, 1) )( 9, N6(144, 35) ) ( 10, N29(12, 123) ) ( 11, N32(30, 145) ) ( 12, N8(80, 69) ) ( 13, N21(6, 15) ) ( 14, N17(12, 103) ) ( 15, G(1, 2) )( 16, N16(8, 83) ) ( 17, N30(78, 53) ) ( 18, N13(2, 123) ) ( 19, N26(94, 67) ) ( 20, N10(138, 69) ) ( 21, N9(94, 117) ) ( 22, G(1, 3) )( 23, N7(36, 137) ) ( 24, N14(126, 109) ) ( 25, N28(122, 7) ) ( 26, N22(12, 147) ) ( 27, N11(118, 39) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N-1 ) ( 31, N24(82, 5) ) ( 32, N27(138, 137) ) ( 33, N25(118, 35) ) ( 34, N-1 ) ( 35, N23(54, 47) ) 

individual 16: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N15(50, 139) ) ( 3, N7(36, 137) ) ( 4, N8(80, 69) ) ( 5, N25(118, 35) ) ( 6, N24(82, 5) ) ( 7, N13(2, 123) ) ( 8, G(1, 1) )( 9, N10(138, 69) ) ( 10, N27(138, 137) ) ( 11, N17(12, 103) ) ( 12, N28(122, 7) ) ( 13, N18(34, 91) ) ( 14, N22(12, 147) ) ( 15, G(1, 2) )( 16, N11(118, 39) ) ( 17, N29(12, 123) ) ( 18, N32(30, 145) ) ( 19, N21(6, 15) ) ( 20, N-1 ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N6(144, 35) ) ( 24, N26(94, 67) ) ( 25, N23(54, 47) ) ( 26, N20(90, 71) ) ( 27, N9(94, 117) ) ( 28, N19(146, 107) ) ( 29, G(1, 4) )( 30, N12(8, 45) ) ( 31, N16(8, 83) ) ( 32, N31(134, 15) ) ( 33, N14(126, 109) ) ( 34, N30(78, 53) ) ( 35, N-1 ) 

